"","id","year_2030_SSP1","year_2030_SSP2","year_2030_SSP3","year_2030_SSP1_TotalWTP","year_2030_SSP2_TotalWTP","year_2030_SSP3_TotalWTP","year_2050_SSP1","year_2050_SSP2","year_2050_SSP3","year_2050_SSP1_TotalWTP","year_2050_SSP2_TotalWTP","year_2050_SSP3_TotalWTP","year_2100_SSP1","year_2100_SSP2","year_2100_SSP3","year_2100_SSP1_TotalWTP","year_2100_SSP2_TotalWTP","year_2100_SSP3_TotalWTP"
"1989",11788,-0.0230321876605444,-0.0899442037813596,-0.0629044119522451,-26.1230514511471,-102.014498046921,-71.3460316558489,-0.118151238357738,-0.116976455063867,-0.0812343642454288,-134.006848334396,-132.674411968298,-92.1358191440858,-0.158532710718268,-0.249406180598126,-0.342203589916551,-179.807416465157,-282.875885869928,-388.12648272535
"1990",11789,-0.0669293473157932,-0.149786630409404,-0.142976225290011,-21.9469302472338,-49.1168203695851,-46.8836074053903,-0.00703301996658775,-0.0443007195569666,-0.179283475957651,-2.30621102437797,-14.5267336529007,-58.7891873912795,0.501179312568786,-0.0536253081568382,-0.341771384410326,164.342666639276,-17.584377329298,-112.070908128877
"1991",1179,-0.0404122304562889,-0.0563786707587711,-0.0188903637424449,-10.614995190042,-14.8088663300243,-4.961891932223,-0.0995453877713398,-0.0994640836996123,-0.0693832738269031,-26.1473766840603,-26.1260207153208,-18.2247579414992,-0.118704566033135,-0.118897532482384,-0.119978550019869,-31.1798775581234,-31.2305636476435,-31.5145122402154
"1992",11790,-0.0445916918600023,-0.135887408485406,-0.0973206837794373,0,0,0,-0.18557479958961,-0.193219302910334,-0.145467380096758,0,0,0,-0.247819134071655,-0.371865142915359,-0.501293415304948,0,0,0
"1993",11791,-0.0671294762199481,-0.15023223121505,-0.143411709941426,-22.0125548988417,-49.2629381817532,-47.0264080100823,-0.00707885214734423,-0.0444013748654939,-0.179811227329161,-2.32123994240095,-14.5597397275729,-58.9622433525717,0.502256493671434,-0.0543309709572113,-0.342810616845598,164.695887154216,-17.8157725673956,-112.411684823739
"1994",11792,-0.0230698755011178,-0.0902044438515228,-0.0630814228003934,-3.43197377144681,-13.4192005219696,-9.38426340905081,-0.118464980695947,-0.117256718351886,-0.0813960945168199,-17.6233593702638,-17.4436130741191,-12.1088326404881,-0.158953063763333,-0.250139991101284,-0.343243014443095,-23.6465405155932,-37.2118995010594,-51.0623051582557
"1995",11793,-0.0276892464007858,-0.0572810201808259,-0.0490230020159242,-15.2900241507285,-31.6306254517038,-27.0705411738262,-0.0566421270787905,-0.0661766491644086,-0.0703046907702662,-31.2778281664885,-36.5427989368963,-38.8223068344815,-0.0323150827061391,-0.101592119166727,-0.168202658440392,-17.8444146820707,-56.0992499795465,-92.8816433840301
"1996",11794,-0.0344919019300668,-0.0807225290179327,-0.0645933405659175,-832.936357931233,-1949.34826903774,-1559.84851014225,-0.0962775377625683,-0.104860778223272,-0.0932940328473659,-2324.98230503884,-2532.25684336619,-2252.93438715432,-0.111544288647931,-0.184965491657512,-0.261786756428452,-2693.65527371653,-4466.6856375893,-6321.82324698276
"1997",11795,-0.0478929644669596,-0.12742051047627,-0.0969761693386936,0,0,0,-0.162235375426638,-0.171421961322155,-0.139552808079413,0,0,0,-0.208109872234406,-0.321546513508407,-0.44078936491735,0,0,0
"1998",11796,-0.000553930991609945,-0.12216301940076,-0.0275305231597769,-1.39435566230363,-307.508878191644,-69.2998612380348,-0.327691744834015,-0.342665372161117,-0.169714182547029,-824.86599742592,-862.55762754773,-427.204715013158,-0.522526448137864,-0.628808250370057,-0.732163977152495,-1315.30411314751,-1582.83677513412,-1843.00391698647
"1999",11797,0.00219906037776628,-0.104089233495874,-0.0358533312859805,63.9534005503588,-3027.13854973969,-1042.69190604312,-0.227858036188822,-0.225926554809214,-0.104028506656815,-6626.60125403371,-6570.42962565346,-3025.37248278594,-0.353621780572892,-0.464708247499378,-0.57100658884374,-10284.0811489137,-13514.7142806379,-16606.0984329639
"2000",11798,-0.071201631567284,-0.159466399351157,-0.152485682884964,-23.3478631447477,-52.2909319109933,-50.0018718274341,-0.00677002455347969,-0.0456216151989378,-0.190739128241549,-2.21997169561847,-14.9598710684119,-62.5456322348997,0.529950889962127,-0.0648842872688949,-0.363576823251497,173.777209593583,-21.2763306971006,-119.221171271284
